"AREANAME","DIS_SAND","ICELAST09","WHIBIN","BOTTOMCOV","BOTTOM"
"Bjuroklubb",17,16,1,0,3
"Bjuroklubb",17,16,1,0,2
"Bjuroklubb",17,16,1,0,3
"Bjuroklubb",15,16,1,0,4
"Bjuroklubb",15,16,1,0,4
"Bjuroklubb",14,16,1,0,3
"Bjuroklubb",15,16,0,0,6
"Bjuroklubb",15,16,1,0,3
"Bjuroklubb",15,16,1,0,3
"Bjuroklubb",18,18,1,0,3
"Bjuroklubb",18,18,1,0,4
"Bjuroklubb",18,18,1,0,4
"Bjuroklubb",17,18,1,0,2
"Bjuroklubb",17,18,1,1,1
"Hornslandet",41,7,1,0,6
"Hornslandet",41,7,0,1,6
"Hornslandet",45,7,1,0,1
"Hornslandet",44,7,0,1,6
"Hornslandet",44,7,1,0,4
"Hornslandet",47,15,0,0,1
"Hornslandet",44,7,1,0,3
"Hornslandet",42,15,1,0,3
"Lohtaja",11,18,1,0,3
"Lohtaja",10,18,1,0,7
"Lohtaja",10,18,1,0,4
"Lohtaja",11,18,1,0,3
"Lohtaja",12,18,1,0,6
"Lohtaja",12,18,1,0,7
"Lohtaja",12,18,1,0,3
"Lohtaja",13,18,1,0,2
"Lohtaja",5,18,0,0,3
"Lohtaja",5,18,1,0,3
"Lohtaja",6,18,0,1,5
"Lohtaja",5,17,1,0,3
"Lohtaja",4,17,1,0,6
"Lohtaja",7,17,1,0,3
"Lohtaja",11,18,1,0,3
"Pori",78,13,0,0,4
"Pori",79,13,0,1,6
"Pori",79,13,0,0,3
"Pori",79,13,0,1,6
"Pori",79,13,0,1,1
"Pori",79,13,0,1,1
"Pori",78,13,0,1,3
"Pori",78,13,0,1,1
"Pori",78,13,0,0,4
"Pori",79,15,1,1,1
"Pori",79,15,1,1,1
"Pori",79,15,1,1,3
"Pori",79,15,0,0,3
"Pori",79,15,0,1,6
"Pori",79,15,1,1,5
"Mjolefjarden",12,13,1,0,4
"Mjolefjarden",12,13,1,0,3
"Mjolefjarden",12,13,1,0,3
"Mjolefjarden",11,13,1,0,3
"Mjolefjarden",11,13,1,0,3
"Mjolefjarden",11,13,1,0,3
"Mjolefjarden",11,13,1,0,3
"Mjolefjarden",13,13,0,1,6
"Mjolefjarden",13,13,1,0,3
"Mjolefjarden",13,13,1,0,3
"Mjolefjarden",13,13,1,0,3
"Mjolefjarden",11,13,1,1,6
"Mjolefjarden",13,15,1,0,3
"Mjolefjarden",14,15,1,0,3
"Nordingra",34,16,1,0,3
"Nordingra",31,13,1,1,6
"Nordingra",35,16,1,0,3
"Nordingra",35,13,1,0,3
"Nordingra",35,13,1,0,3
"Nordingra",33,16,1,0,4
"Vaasa",66,15,0,1,1
"Vaasa",69,17,0,1,1
"Vaasa",69,17,0,1,1
"Vaasa",67,13,0,1,1
"Storsand",6,17,1,0,3
"Storsand",7,17,1,0,3
"Storsand",7,17,1,0,3
"Storsand",7,17,1,0,3
"Storsand",7,17,1,0,3
"Storsand",8,16,1,0,5
"Storsand",8,16,1,1,4
"Storsand",7,16,1,0,3
"Storsand",6,16,1,0,3
"Storsand",6,16,0,0,3
"Storsand",6,16,1,0,2
"Storsand",6,16,1,0,2
"Storsand",7,16,1,1,2
"Storsand",7,16,1,0,1
"Storsand",6,16,1,1,4
"Storsand",6,16,1,0,7
"Storsand",7,17,1,1,1
"Storsand",8,13,1,1,1
"Storsand",7,16,1,0,6
"Storsand",7,16,0,0,3
"Storsand",6,16,1,0,2
"Storsand",7,16,1,0,4
"Storsand",8,13,1,0,3
"Vaasa",42,18,0,0,1
"Vaasa",41,18,0,0,3
"Vaasa",45,18,0,1,1
"Pori",79,10,0,1,5
"Pori",79,10,0,1,6
"Pori",82,9,0,0,4
"Bygdea",35,18,1,1,1
